Barcode,Date of thesis,Total checkouts since 1994,,,,,,,,,,,,,,,,,,,
12639050,1940,0,,,,,,,,,,,,,,,,,,,
12650834,1940,0,,,,,,,,,,,,,,,,,,,
12650990,1940,0,,,,,,,,,,,,,,,,,,,
12671558,1940,0,,,,,,,,,,,,,,,,,,,
12672226,1940,0,,,,,,,,,,,,,,,,,,,
12673919,1940,0,,,,,,,,,,,,,,,,,,,
12675120,1940,0,,,,,,,,,,,,,,,,,,,
12675229,1940,0,,,,,,,,,,,,,,,,,,,
12676482,1940,0,,,,,,,,,,,,,,,,,,,
12677175,1940,0,,,,,,,,,,,,,,,,,,,
12677654,1940,0,,,,,,,,,,,,,,,,,,,
12677845,1940,0,,,,,,,,,,,,,,,,,,,
12678421,1940,0,,,,,,,,,,,,,,,,,,,
14145601,1940,0,,,,,,,,,,,,,,,,,,,
15472590,1940,0,,,,,,,,,,,,,,,,,,,
15673551,1940,0,,,,,,,,,,,,,,,,,,,
15688708,1940,0,,,,,,,,,,,,,,,,,,,
15688732,1940,0,,,,,,,,,,,,,,,,,,,
15695398,1940,0,,,,,,,,,,,,,,,,,,,
12549820,1941,3,,,,,,,,,,,,,,,,,,,
12653838,1941,2,,,,,,,,,,,,,,,,,,,
14628143,1941,2,,,,,,,,,,,,,,,,,,,
12119954,1941,1,,,,,,,,,,,,,,,,,,,
12515144,1941,1,,,,,,,,,,,,,,,,,,,
12678140,1941,1,,,,,,,,,,,,,,,,,,,
15472616,1941,1,,,,,,,,,,,,,,,,,,,
15684640,1941,1,,,,,,,,,,,,,,,,,,,
16497893,1941,1,,,,,,,,,,,,,,,,,,,
11743408,1941,0,,,,,,,,,,,,,,,,,,,
12121577,1941,0,,,,,,,,,,,,,,,,,,,
12151437,1941,0,,,,,,,,,,,,,,,,,,,
12295812,1941,0,,,,,,,,,,,,,,,,,,,
12355459,1941,0,,,,,,,,,,,,,,,,,,,
12521506,1941,0,,,,,,,,,,,,,,,,,,,
12549903,1941,0,,,,,,,,,,,,,,,,,,,
12553749,1941,0,,,,,,,,,,,,,,,,,,,
12553962,1941,0,,,,,,,,,,,,,,,,,,,
12556791,1941,0,,,,,,,,,,,,,,,,,,,
12561296,1941,0,,,,,,,,,,,,,,,,,,,
12564522,1941,0,,,,,,,,,,,,,,,,,,,
12566139,1941,0,,,,,,,,,,,,,,,,,,,
12566220,1941,0,,,,,,,,,,,,,,,,,,,
12591368,1941,0,,,,,,,,,,,,,,,,,,,
